id_pelanggan,nama,umur,jenis_kelamin,kota,jenis_produk,nama_produk,total_transaksi,tanggal_transaksi
1100,Dewi,18,P,Depok,Kosmetik,Lipstik,1000000,2024-01-24
1002,Citra,120,P,Jakarta,Kosmetik,Lipstik,500000,07/01/2024
1003,Andi,abc,L,bandung,Kosmetik,Skincare Set,1000000,15-01-2024
1004,Fajar,45,P,Bogor,Elektronik,Smartphone,1000000,31-01-2024
1005,Citra,45,L,Bekasi,Elektronik,Power Bank,3000000,2024-01-09
1006,Rudi,abc,L,jakarta,Kosmetik,Lipstik,3000000,10-01-2024
1007,Gita,22,L,Depok,Kosmetik,Skincare Set,500000,28/01/2024
1008,Maman,35,P,Bekasi,Elektronik,Smartphone,1500000,12/01/2024
1009,Ika,22,L,bandung,Kosmetik,Bedak,1000000,2024/01/06
1010,Ika,abc,L,Bekasi,Fashion,Kaos,1000000,2024-01-27
1011,Maman,35,L,Depok,Fashion,Sepatu,1000000,2024/01/21
1012,Rudi,25,P,Surabaya,Fashion,Dress,99999999,18-01-2024
1013,Nina,120,P,Bekasi,Kosmetik,Lipstik,1000000,2024/01/17
1014,Budi,22,L,Surabaya,Elektronik,Headset,3000000,2024/01/03
1015,Rudi,abc,P,bandung,Fashion,Kaos,99999999,2024-01-24
1016,Ika,40,L,Bogor,Kosmetik,Skincare Set,1000000,2024-01-15
1017,Ika,abc,L,bandung,Kosmetik,Lipstik,,21-01-2024
1018,Gita,25,P,Surabaya,Kosmetik,Bedak,,2024-01-30
1019,Kiki,,L,Bandung,Kosmetik,Skincare Set,,26-01-2024
1020,Budi,30,L,Bandung,Elektronik,Headset,,03/01/2024
1021,Sari,abc,L,Bogor,Elektronik,Mouse,,2024/01/20
1022,Gita,35,P,Bekasi,Elektronik,Headset,3000000,2024-01-15
1023,Hadi,22,P,Jakarta,Elektronik,Mouse,3000000,08/01/2024
1024,Citra,18,L,Bandung,Elektronik,Laptop,,2024-01-11
1025,Hadi,35,P,Depok,Kosmetik,Bedak,1000000,2024/01/24
1026,Sari,45,L,Bandung,Elektronik,Laptop,99999999,14-01-2024
1027,Nina,,L,Bandung,Fashion,Kaos,2000000,24-01-2024
1028,Hadi,30,L,bandung,Elektronik,Headset,1000000,14/01/2024
1029,Rudi,30,L,DEPOK,Fashion,Kaos,500000,2024-01-21
1030,Hadi,25,P,DEPOK,Elektronik,Headset,1000000,2024/01/28
1031,Fajar,45,L,jakarta,Elektronik,Power Bank,,2024/01/26
1032,Nina,abc,P,Surabaya,Fashion,Dress,1500000,2024-01-07
1033,Budi,40,L,Jakarta,Kosmetik,Bedak,2000000,17/01/2024
1034,Citra,25,L,,Elektronik,Laptop,99999999,28/01/2024
1035,Dewi,120,L,,Fashion,Kaos,3000000,2024/01/03
1036,Kiki,35,L,Bekasi,Kosmetik,Lipstik,1500000,13/01/2024
1037,Joko,,P,Bandung,Kosmetik,Lipstik,2000000,2024-01-20
1038,Gita,abc,P,Surabaya,Elektronik,Power Bank,500000,29/01/2024
1039,Joko,25,P,bandung,Fashion,Sepatu,3000000,2024-01-26
1040,Joko,22,L,Bogor,Kosmetik,Lipstik,500000,24/01/2024
1041,Joko,120,L,Bekasi,Fashion,Dress,99999999,21-01-2024
1042,Sari,35,L,Bandung,Kosmetik,Bedak,2000000,27-01-2024
1043,Andi,40,L,Bogor,Elektronik,Smartphone,99999999,2024/01/15
1044,Andi,22,L,Surabaya,Kosmetik,Bedak,500000,27-01-2024
1045,Eko,45,L,Jakarta,Kosmetik,Skincare Set,1500000,2024-01-29
1046,Gita,30,L,Bekasi,Fashion,Tas,3000000,24/01/2024
1047,Fajar,25,P,Jakarta,Elektronik,Smartphone,99999999,30-01-2024
1048,Hadi,35,L,Bandung,Fashion,Tas,,2024/01/02
1049,Gita,,P,Bogor,Elektronik,Smartphone,1000000,01/01/2024
1050,Kiki,35,L,Bogor,Fashion,Sepatu,99999999,2024/01/17
1051,Kiki,18,L,Bogor,Kosmetik,Lipstik,3000000,31-01-2024
1052,Dewi,120,P,Bekasi,Elektronik,Power Bank,2000000,2024-01-20
1053,Gita,35,L,jakarta,Fashion,Kaos,3000000,30/01/2024
1054,Nina,22,P,,Fashion,Sepatu,99999999,2024-01-28
1055,Joko,abc,P,jakarta,Kosmetik,Skincare Set,2000000,23-01-2024
1056,Eko,30,P,jakarta,Kosmetik,Bedak,99999999,29/01/2024
1057,Joko,45,L,Bogor,Kosmetik,Skincare Set,1000000,14-01-2024
1058,Rudi,,L,bandung,Fashion,Tas,,29/01/2024
1059,Citra,35,P,Bandung,Kosmetik,Lipstik,99999999,10/01/2024
1060,Eko,18,L,Depok,Elektronik,Headset,3000000,2024-01-28
1061,Nina,120,L,jakarta,Fashion,Tas,2000000,08/01/2024
1062,Andi,22,P,Depok,Kosmetik,Lipstik,,2024/01/31
1063,Hadi,22,P,Surabaya,Elektronik,Headset,99999999,17-01-2024
1064,Nina,abc,P,Surabaya,Fashion,Tas,2000000,09/01/2024
1065,Ika,abc,P,Depok,Kosmetik,Skincare Set,2000000,03-01-2024
1066,Ika,40,P,bandung,Elektronik,Laptop,1000000,05/01/2024
1067,Eko,30,L,jakarta,Fashion,Tas,1500000,2024/01/18
1068,Budi,30,P,jakarta,Fashion,Kaos,,2024/01/29
1069,Andi,40,P,jakarta,Fashion,Tas,3000000,24/01/2024
1070,Hadi,35,P,DEPOK,Fashion,Kaos,2000000,2024/01/11
1071,Fajar,,L,,Kosmetik,Bedak,500000,2024/01/30
1072,Andi,22,P,Surabaya,Kosmetik,Skincare Set,1000000,02-01-2024
1073,Kiki,30,P,Bekasi,Fashion,Sepatu,,2024/01/29
1074,Nina,35,L,DEPOK,Fashion,Kaos,99999999,2024-01-18
1075,Hadi,22,L,Jakarta,Fashion,Dress,1000000,2024-01-27
1076,Eko,30,L,DEPOK,Kosmetik,Bedak,500000,19/01/2024
1077,Ika,40,L,,Fashion,Kaos,,27/01/2024
1078,Dewi,120,L,Bogor,Fashion,Tas,2000000,31/01/2024
1079,Hadi,22,P,,Elektronik,Laptop,,2024-01-19
1080,Nina,40,L,bandung,Fashion,Sepatu,500000,2024/01/28
1081,Dewi,45,P,DEPOK,Fashion,Dress,2000000,06-01-2024
1082,Sari,,P,,Kosmetik,Skincare Set,1500000,28/01/2024
1083,Ika,,L,DEPOK,Elektronik,Mouse,3000000,2024/01/22
1084,Andi,,P,Surabaya,Fashion,Tas,1000000,12-01-2024
1085,Ika,120,P,bandung,Fashion,Kaos,3000000,31/01/2024
1086,Hadi,45,P,bandung,Elektronik,Smartphone,99999999,2024/01/16
1087,Andi,22,P,Depok,Fashion,Tas,99999999,08-01-2024
1088,Lina,,P,jakarta,Kosmetik,Bedak,3000000,11-01-2024
1089,Rudi,35,P,Bogor,Kosmetik,Lipstik,500000,24/01/2024
1090,Dewi,abc,L,Depok,Fashion,Dress,99999999,16-01-2024
