id_customer,nama_customer,usia,gender,kota,kategori_produk,produk,nilai_transaksi,tanggal_beli
2090,Doni,22,P,Bogor,Elektronik,Laptop,150000,13-02-2024
2002,Tina,18,L,Surabaya,Fashion,Sepatu,2000000,08/02/2024
2003,Irwan,45,L,bandung,Elektronik,Laptop,150000,2024/02/11
2004,Irwan,18,L,Surabaya,Elektronik,Smartphone,150000,2024/02/10
2005,Sari,35,P,Jakarta,Kosmetik,Serum,2000000,2024/02/17
2006,Tina,150,P,Jakarta,Elektronik,Headset,85000000,2024/02/18
2007,Hendra,45,P,,Kosmetik,Lipstik,500000,2024/02/03
2008,Doni,25,P,Bekasi,Kosmetik,Bedak,300000,2024/02/15
2009,Agus,40,L,Depok,Kosmetik,Lipstik,2000000,01-02-2024
2010,Fahmi,abc,L,Bogor,Elektronik,Headset,750000,2024/02/18
2011,Adi,abc,P,bandung,Elektronik,Monitor,,2024-02-02
2012,Sari,30,L,Bogor,Elektronik,Monitor,2000000,2024/02/09
2013,Fahmi,18,L,Bandung,Kosmetik,Serum,300000,2024/02/03
2014,Agus,abc,P,Bandung,Elektronik,Mouse,85000000,01-02-2024
2015,Sari,18,P,bandung,Fashion,Sepatu,150000,21/02/2024
2016,Sinta,25,P,Depok,Fashion,Kaos,150000,2024/02/17
2017,Doni,25,P,bandung,Kosmetik,Serum,500000,18-02-2024
2018,Sinta,25,P,bandung,Kosmetik,Lipstik,500000,2024-02-15
2019,Sari,,P,bandung,Fashion,Kaos,500000,17-02-2024
2020,Bayu,abc,L,Bekasi,Kosmetik,Lipstik,2000000,08-02-2024
2021,Doni,abc,L,Depok,Elektronik,Power Bank,1200000,2024-02-13
2022,Sinta,30,L,Jakarta,Kosmetik,Skincare,1200000,19/02/2024
2023,Nia,40,L,Bekasi,Elektronik,Mouse,500000,18/02/2024
2024,Sari,45,L,Bogor,Fashion,Jaket,,2024/02/11
2025,Tina,abc,L,Jakarta,Elektronik,Monitor,,2024-02-11
2026,Rama,40,P,Bekasi,Kosmetik,Bedak,2000000,12/02/2024
2027,Rina,30,L,bandung,Fashion,Kaos,85000000,13-02-2024
2028,Tina,abc,P,Bekasi,Elektronik,Laptop,1200000,04-02-2024
2029,Tina,150,P,Jakarta,Kosmetik,Bedak,150000,2024/02/19
2030,Sinta,,P,Depok,Fashion,Tas,1200000,15-02-2024
2031,Wulan,,P,Bekasi,Elektronik,Laptop,500000,2024-02-04
2032,Hendra,,L,DEPOK,Fashion,Jaket,150000,16/02/2024
2033,Tina,40,L,Jakarta,Fashion,Tas,1200000,2024-02-19
2034,Wulan,45,L,Bandung,Fashion,Sepatu,1200000,2024/02/06
2035,Fahmi,18,L,DEPOK,Fashion,Dress,750000,02-02-2024
2036,Adi,abc,L,Bogor,Kosmetik,Bedak,,08-02-2024
2037,Sinta,22,P,,Kosmetik,Serum,750000,2024-02-17
2038,Fahmi,45,P,Bandung,Kosmetik,Lipstik,85000000,2024/02/21
2039,Rina,25,P,Surabaya,Kosmetik,Skincare,750000,2024-02-08
2040,Irwan,30,L,bandung,Elektronik,Laptop,150000,14-02-2024
2041,Rama,18,L,bandung,Kosmetik,Serum,500000,2024-02-10
2042,Hendra,40,L,,Fashion,Kaos,2000000,2024/02/05
2043,Fahmi,30,P,bandung,Elektronik,Mouse,750000,2024-02-13
2044,Tina,18,P,Surabaya,Fashion,Tas,300000,2024-02-05
2045,Irwan,40,L,DEPOK,Fashion,Jaket,2000000,10-02-2024
2046,Fahmi,18,L,,Elektronik,Monitor,300000,19-02-2024
2047,Sinta,30,P,Surabaya,Kosmetik,Bedak,500000,16/02/2024
2048,Adi,22,P,Jakarta,Elektronik,Laptop,500000,2024/02/08
2049,Irwan,30,P,Jakarta,Fashion,Kaos,500000,2024/02/04
2050,Sinta,25,L,Bekasi,Kosmetik,Bedak,750000,08/02/2024
2051,Rina,25,L,Jakarta,Fashion,Sepatu,2000000,13-02-2024
2052,Tina,18,L,,Elektronik,Laptop,300000,08-02-2024
2053,Adi,abc,L,,Elektronik,Power Bank,85000000,18-02-2024
2054,Hendra,25,P,Jakarta,Fashion,Jaket,1200000,12-02-2024
2055,Tina,18,P,,Kosmetik,Lipstik,1200000,2024/02/03
2056,Adi,150,P,DEPOK,Kosmetik,Lipstik,750000,2024-02-13
2057,Lina,40,P,DEPOK,Elektronik,Power Bank,500000,2024-02-13
2058,Wulan,18,L,Depok,Fashion,Sepatu,500000,04/02/2024
2059,Nia,22,P,Bandung,Kosmetik,Lipstik,2000000,02-02-2024
2060,Adi,35,P,Bandung,Fashion,Jaket,1200000,2024-02-17
2061,Bayu,22,P,Bogor,Kosmetik,Serum,,2024-02-08
2062,Tina,22,L,DEPOK,Elektronik,Monitor,85000000,12/02/2024
2063,Fahmi,18,P,Depok,Elektronik,Smartphone,150000,14/02/2024
2064,Adi,abc,P,bandung,Elektronik,Smartphone,85000000,2024-02-10
2065,Sinta,150,P,Bogor,Elektronik,Mouse,150000,21/02/2024
2066,Doni,150,P,Jakarta,Fashion,Dress,1200000,10/02/2024
2067,Lina,,L,bandung,Fashion,Kaos,500000,2024-02-06
2068,Lina,22,P,Depok,Kosmetik,Bedak,85000000,18-02-2024
2069,Tina,30,L,DEPOK,Elektronik,Laptop,1200000,01/02/2024
2070,Rama,25,L,Jakarta,Kosmetik,Bedak,,2024/02/20
2071,Hendra,25,P,bandung,Fashion,Kaos,300000,02/02/2024
2072,Hendra,25,P,Bekasi,Elektronik,Mouse,85000000,09-02-2024
2073,Tina,25,L,Jakarta,Fashion,Jaket,500000,2024-02-17
2074,Irwan,30,P,Jakarta,Fashion,Sepatu,1200000,15-02-2024
2075,Wulan,35,P,Depok,Kosmetik,Skincare,150000,2024-02-12
2076,Sinta,,P,bandung,Kosmetik,Skincare,300000,2024-02-20
2077,Nia,45,L,,Elektronik,Keyboard,300000,16/02/2024
2078,Agus,abc,P,Bekasi,Kosmetik,Serum,85000000,21-02-2024
2079,Hendra,,L,Depok,Fashion,Kaos,150000,17/02/2024
2080,Irwan,18,L,Surabaya,Fashion,Dress,85000000,06/02/2024
2090,Hendra,25,P,,Kosmetik,Lipstik,,05-02-2024
2082,Hendra,abc,P,Depok,Fashion,Kaos,85000000,2024/02/16
2083,Rama,45,P,Bandung,Fashion,Sepatu,,2024-02-15
2084,Rama,40,P,Bekasi,Elektronik,Monitor,750000,2024/02/18
2085,Agus,150,P,Depok,Kosmetik,Lipstik,500000,2024/02/05
2086,Tina,,P,Jakarta,Elektronik,Power Bank,500000,09-02-2024
2087,Doni,22,P,Depok,Kosmetik,Lipstik,300000,18/02/2024
2088,Rama,150,P,,Kosmetik,Bedak,85000000,2024-02-16
2089,Adi,40,L,Bekasi,Elektronik,Keyboard,85000000,2024-02-16
